date,year,month,day,full_path,status,missing_list,meta_size
2002-10-18,2002,10,18,/nrp/sio/embeddings_modis_2002-2022/2002/10/18/,OK,,832145
2002-10-19,2002,10,19,/nrp/sio/embeddings_modis_2002-2022/2002/10/19/,OK,,853720
2002-10-20,2002,10,20,/nrp/sio/embeddings_modis_2002-2022/2002/10/20/,OK,,816617
2002-10-21,2002,10,21,/nrp/sio/embeddings_modis_2002-2022/2002/10/21/,OK,,865213
2002-10-22,2002,10,22,/nrp/sio/embeddings_modis_2002-2022/2002/10/22/,OK,,815250
2002-10-23,2002,10,23,/nrp/sio/embeddings_modis_2002-2022/2002/10/23/,OK,,853604
2002-10-24,2002,10,24,/nrp/sio/embeddings_modis_2002-2022/2002/10/24/,OK,,833346
2002-10-25,2002,10,25,/nrp/sio/embeddings_modis_2002-2022/2002/10/25/,OK,,839848
2002-10-26,2002,10,26,/nrp/sio/embeddings_modis_2002-2022/2002/10/26/,OK,,850361
2002-10-27,2002,10,27,/nrp/sio/embeddings_modis_2002-2022/2002/10/27/,OK,,827221
2002-10-28,2002,10,28,/nrp/sio/embeddings_modis_2002-2022/2002/10/28/,OK,,867839
2002-10-29,2002,10,29,/nrp/sio/embeddings_modis_2002-2022/2002/10/29/,OK,,814156
2002-10-30,2002,10,30,/nrp/sio/embeddings_modis_2002-2022/2002/10/30/,OK,,869264
2002-10-31,2002,10,31,/nrp/sio/embeddings_modis_2002-2022/2002/10/31/,OK,,833915
2002-11-01,2002,11,1,/nrp/sio/embeddings_modis_2002-2022/2002/11/01/,OK,,52271
2002-11-02,2002,11,2,/nrp/sio/embeddings_modis_2002-2022/2002/11/02/,OK,,845954
2002-11-03,2002,11,3,/nrp/sio/embeddings_modis_2002-2022/2002/11/03/,OK,,835772
2002-11-04,2002,11,4,/nrp/sio/embeddings_modis_2002-2022/2002/11/04/,OK,,863756
2002-11-05,2002,11,5,/nrp/sio/embeddings_modis_2002-2022/2002/11/05/,OK,,820413
2002-11-06,2002,11,6,/nrp/sio/embeddings_modis_2002-2022/2002/11/06/,OK,,872931
2002-11-07,2002,11,7,/nrp/sio/embeddings_modis_2002-2022/2002/11/07/,OK,,820253
2002-11-08,2002,11,8,/nrp/sio/embeddings_modis_2002-2022/2002/11/08/,OK,,859570
2002-11-09,2002,11,9,/nrp/sio/embeddings_modis_2002-2022/2002/11/09/,OK,,840617
2002-11-10,2002,11,10,/nrp/sio/embeddings_modis_2002-2022/2002/11/10/,OK,,844607
2002-11-11,2002,11,11,/nrp/sio/embeddings_modis_2002-2022/2002/11/11/,OK,,858326
2002-11-12,2002,11,12,/nrp/sio/embeddings_modis_2002-2022/2002/11/12/,OK,,824615
2002-11-13,2002,11,13,/nrp/sio/embeddings_modis_2002-2022/2002/11/13/,OK,,871876
